Date,Open1,Close1,Open2,Close2
2000/10/6,23.8125,22,8.9375,8.9375
2000/10/9,22.75,22.375,8.875,8.625
2000/10/10,22.75,22.75,8.6875,8.875
2000/10/11,22.25,23.5,8.8125,8.8125
2000/10/12,24.25,22.5625,8.6875,8.8125
2000/10/13,22.125,21.875,8.8125,8.8125
2000/10/16,21.8125,20.375,8.75,8.9375
2000/10/17,20,18.375,8.9375,8.75
2000/10/18,17.5,18.125,8.6875,8.625
2000/10/19,19.9375,21.8125,8.625,8.6875
2000/10/20,21.875,22.125,8.625,8.5
2000/10/23,22.1875,21.875,8.5,8.625
2000/10/24,21.75,20.1875,8.5625,8.125
2000/10/25,20.1875,19.1875,8.1875,7.8125
2000/10/26,19.125,20.3125,7.9375,7.6875
2000/10/27,21,20.4375,7.6875,7.5625
2000/10/30,20.375,20.25,7.5625,7.6875
2000/10/31,20.875,22.625,7.6875,7.75
2000/11/1,21.875,23.8125,7.75,7.9375
2000/11/2,24.625,23.75,8.0625,7.75
2000/11/3,24.0625,23.75,7.875,7.8125
2000/11/6,24.4375,24.3125,7.8125,7.8125
2000/11/7,24,22.5625,7.9375,7.8125
2000/11/8,22.6875,21.6875,7.875,7.8125
2000/11/9,21.125,21,7.875,7.9375
2000/11/10,21.125,20.0625,7.875,8
2000/11/13,19.3125,21.3125,7.875,8.0625
2000/11/14,22.5,21.75,8,8
2000/11/15,21.8125,21.9375,8,8
2000/11/16,21.6875,20.5625,8,8.125
2000/11/17,20.5625,20.5625,8.1875,8.25
2000/11/20,20.25,20.375,8.125,8.25
2000/11/21,20.5625,19.9375,8.1875,8.3125
2000/11/22,19.8125,19.625,8.3125,8.1875
2000/11/24,20.375,20.8125,8.1875,8.25
2000/11/27,21.4375,19,8.125,8.1875
2000/11/28,18.75,17.75,8,8.0625
2000/11/29,17.6875,17.0625,8,8
2000/11/30,16,15.25,8,8.0625
2000/12/1,15.8125,15.4375,8,8.125
2000/12/4,15.875,15.375,8.1875,8.125
2000/12/5,15.5,15.75,8.0625,8.125
2000/12/6,16.1875,14.4375,8.125,8.1875
2000/12/7,14.5625,14.5,8.125,8.1875
2000/12/8,15.25,16.0625,8.125,8.25
2000/12/11,16.25,17.3125,8.125,8.25
2000/12/12,17.5,17.25,8.1875,8.25
2000/12/13,17.875,16.75,8.25,8.3125
2000/12/14,16.75,16.5,8.25,8.375
2000/12/15,16.3125,16.1875,8.375,8.875
2000/12/18,16,15.25,8.9375,8.875
2000/12/19,15.4375,15.375,8.8125,8.9375
2000/12/20,15.125,14.5625,8.8125,8.8125
2000/12/21,14.3125,13.6875,8.6875,8.625
2000/12/22,14,14.3125,8.625,9
2000/12/26,14.625,14.125,8.875,8.8125
2000/12/27,14.125,14.625,8.6875,8.875
2000/12/28,14.5,14.3125,8.875,8.875
2000/12/29,14.3125,13.8125,8.875,8.8125
2001/1/2,14.125,14.375,8.75,8.75
2001/1/3,14.5,16.25,8.6875,8.875
2001/1/4,16.125,16.6875,8.875,8.9375
2001/1/5,17.1875,16,8.9375,8.9375
2001/1/8,15.9375,16.1875,8.9375,9
2001/1/9,16.8125,16.75,9,8.9375
2001/1/10,16.5,17.125,9,9.1875
2001/1/11,16.875,18.1875,9.0625,9
2001/1/12,18.125,17.8125,9,9
2001/1/16,17.8125,17.125,9,9
2001/1/17,19.0625,18.5,8.875,8.875
2001/1/18,18.5625,22.6875,8.875,8.875
2001/1/19,22.75,22,8.875,8.875
2001/1/22,21.625,21.4375,8.875,8.875
2001/1/23,21.1875,22.3125,8.875,9
2001/1/24,22.5,22.6875,9,9
2001/1/25,22.5,21.9375,9,9.0625
2001/1/26,21.375,21.375,9,9
2001/1/29,21.70000076,23,9.100000381,9
2001/1/30,23.13999939,24.02000046,9.100000381,9
2001/1/31,23.64999962,24.60000038,9.050000191,9
2001/2/1,25.29999924,25.70999908,9,9.039999962
2001/2/2,25.64999962,23.88999939,9.079999924,9.149999619
2001/2/5,23.63999939,24,9.399999619,9.279999733
2001/2/6,23.75,24.04999924,9.369999886,9.329999924
2001/2/7,23.70000076,23.56999969,9.399999619,9.270000458
2001/2/8,23.97999954,24,9.25,9.199999809
2001/2/9,23.95000076,24.37000084,9.199999809,9.130000114
2001/2/12,23.35000038,24,9.180000305,9.300000191
2001/2/13,24,24.01000023,9.5,9.5
2001/2/14,24,24.95000076,9.5,9.399999619
2001/2/15,25.5,26.22999954,9.600000381,9.649999619
2001/2/16,24.85000038,24.70999908,9.699999809,9.989999771
2001/2/20,25,22.56999969,10,10.19999981
2001/2/21,21.62000084,23,9.699999809,9.399999619
2001/2/22,23,21,9.399999619,9.5
2001/2/23,20.85000038,22.10000038,9.550000191,9.409999847
2001/2/26,22.10000038,22.82999992,9.409999847,9.529999733
2001/2/27,22.81999969,21.97999954,9.5,9.699999809
2001/2/28,22.03000069,21.5,9.75,9.800000191
2001/3/1,20.5,20.95000076,9.800000191,9.720000267
2001/3/2,19.75,21.73999977,9.680000305,9.850000381
2001/3/5,22.14999962,23.12999916,9.949999809,10.01000023
